Огноо,Гүйлгээний утга,Дебит дүн (MNT),Кредит дүн (MNT),Үлдэгдэл (MNT)
2025-07-01,Nomin Supermarket,56657,,3093343
2025-07-01,CU 24/7 дэлгүүр,54062,,3039281
2025-07-02,Хаан ресторан,60142,,2979139
2025-07-03,Цэцэрлэгийн сарын хураамж,157870,,2821269
2025-07-05,Орон сууцны зээлийн төлбөр - Хаан Банк,590819,,2230450
2025-07-08,Дулааны төлбөр - УБДС,19506,,2210944
2025-07-08,Цахилгааны төлбөр - Эрчим Хүчний Түгээх Сүлжээ,43024,,2167920
2025-07-08,CU 24/7 дэлгүүр,106907,,2061013
2025-07-09,Усны төлбөр - УСУГ,13828,,2047185
2025-07-09,Petrovis шатахуун түгээх станц,59110,,1988075
2025-07-10,Гэрийн интернэт - Unitel,46143,,1941932
2025-07-11,Гар утасны төлбөр - Mobicom,29679,,1912253
2025-07-11,Гар утасны төлбөр - эхнэр/нөхөр Skytel,27543,,1884710
2025-07-13,Emart Taxi дуудлага,19763,,1864947
2025-07-13,Эмнэлгийн үзлэг/эм - Эм Импекс эмийн сан,25328,,1839619
2025-07-15,CU 24/7 дэлгүүр,64463,,1775156
2025-07-15,Даатгалын хураамж - Practical Insurance,40925,,1734231
2025-07-18,Emart Хан-Уул,56893,,1677338
2025-07-19,Emart Хан-Уул,32165,,1645173
2025-07-20,Копи Ко кафе,77895,,1567278
2025-07-23,Улаанбаатар зах-Хүнс,119924,,1447354
2025-07-23,MobiCard шатахуун,67298,,1380056
2025-07-23,Fitness club гишүүнчлэл,62279,,1317777
2025-07-24,Наадамын урамшуулал - ХХК,,450000,1767777
2025-07-25,Цалингийн шилжүүлэг - ХХК,,2917621,4685398
2025-07-25,MobiCard шатахуун,51698,,4633700
2025-07-26,Гэрийн орлого шилжүүлэг - эхнэр/нөхөр,,1429184,6062884
2025-07-26,Grand Plaza хүнсний дэлгүүр,28851,,6034033
2025-07-27,Хадгаламж руу шилжүүлэг,159742,,5874291
2025-08-03,Цэцэрлэгийн сарын хураамж,152130,,5722161
2025-08-03,CU 24/7 дэлгүүр,111227,,5610934
2025-08-05,Орон сууцны зээлийн төлбөр - Хаан Банк,597628,,5013306
2025-08-05,Эмнэлгийн үзлэг/эм - Эм Импекс эмийн сан,81784,,4931522
2025-08-06,CU 24/7 дэлгүүр,123568,,4807954
2025-08-06,Fitness club гишүүнчлэл,85954,,4722000
2025-08-07,Улаанбаатар зах-Хүнс,62993,,4659007
2025-08-07,Sod Mongol шатахуун станц,65622,,4593385
2025-08-07,Sod Mongol шатахуун станц,77717,,4515668
2025-08-08,Дулааны төлбөр - УБДС,16654,,4499014
2025-08-08,Цахилгааны төлбөр - Эрчим Хүчний Түгээх Сүлжээ,47455,,4451559
2025-08-08,Сод Экспресс,88589,,4362970
2025-08-08,Grand Plaza хүнсний дэлгүүр,32207,,4330763
2025-08-09,Усны төлбөр - УСУГ,14277,,4316486
2025-08-09,Emart Taxi дуудлага,16081,,4300405
2025-08-10,Гэрийн интернэт - Unitel,48714,,4251691
2025-08-11,Гар утасны төлбөр - Mobicom,33977,,4217714
2025-08-11,Гар утасны төлбөр - эхнэр/нөхөр Skytel,23332,,4194382
2025-08-13,Silk Road дэлгүүр,111886,,4082496
2025-08-13,MobiCard шатахуун,49337,,4033159
2025-08-13,Sod Mongol шатахуун станц,75071,,3958088
2025-08-13,Гэр бүлд бэлэг/дэмжлэг,172696,,3785392
2025-08-15,Даатгалын хураамж - Practical Insurance,36796,,3748596
2025-08-18,Копи Ко кафе,73956,,3674640
2025-08-19,Хаан ресторан,83839,,3590801
2025-08-19,Хаан ресторан,48723,,3542078
2025-08-22,Silk Road дэлгүүр,138474,,3403604
2025-08-23,Улаанбаатар зах-Хүнс,112939,,3290665
2025-08-23,CU 24/7 дэлгүүр,56785,,3233880
2025-08-25,Цалингийн шилжүүлэг - ХХК,,2770916,6004796
2025-08-25,Grand Plaza хүнсний дэлгүүр,35331,,5969465
2025-08-26,Гэрийн орлого шилжүүлэг - эхнэр/нөхөр,,1624216,7593681
2025-08-27,Хадгаламж руу шилжүүлэг,256345,,7337336
2025-09-01,Petrovis шатахуун түгээх станц,68788,,7268548
2025-09-02,Сургууль/цэцэрлэгийн хэрэглэл - Skyshop,175461,,7093087
2025-09-03,Цэцэрлэгийн сарын хураамж,151146,,6941941
2025-09-04,Grand Plaza хүнсний дэлгүүр,109959,,6831982
2025-09-05,Орон сууцны зээлийн төлбөр - Хаан Банк,608128,,6223854
2025-09-05,Silk Road дэлгүүр,127943,,6095911
2025-09-08,Дулааны төлбөр - УБДС,15188,,6080723
2025-09-08,Цахилгааны төлбөр - Эрчим Хүчний Түгээх Сүлжээ,38753,,6041970
2025-09-08,Emart Taxi дуудлага,15892,,6026078
2025-09-09,Усны төлбөр - УСУГ,17584,,6008494
2025-09-10,Гэрийн интернэт - Unitel,49398,,5959096
2025-09-10,Emart Хан-Уул,48730,,5910366
2025-09-10,Grand Plaza хүнсний дэлгүүр,111748,,5798618
2025-09-11,Гар утасны төлбөр - Mobicom,32371,,5766247
2025-09-11,Гар утасны төлбөр - эхнэр/нөхөр Skytel,28296,,5737951
2025-09-15,Nomin Supermarket,122646,,5615305
2025-09-15,Даатгалын хураамж - Practical Insurance,38295,,5577010
2025-09-16,Modern Nomads ресторан,74846,,5502164
2025-09-17,CU 24/7 дэлгүүр,54071,,5448093
2025-09-17,Эмнэлгийн үзлэг/эм - Эм Импекс эмийн сан,94507,,5353586
2025-09-18,Sod Mongol шатахуун станц,45037,,5308549
2025-09-18,KFC Улаанбаатар,33414,,5275135
2025-09-19,Emart Taxi дуудлага,10806,,5264329
2025-09-20,MobiCard шатахуун,77021,,5187308
2025-09-22,Хаан ресторан,61031,,5126277
2025-09-24,Silk Road дэлгүүр,93612,,5032665
2025-09-25,Цалингийн шилжүүлэг - ХХК,,2888704,7921369
2025-09-25,Сод Экспресс,94542,,7826827
2025-09-26,Гэрийн орлого шилжүүлэг - эхнэр/нөхөр,,1465906,9292733
2025-09-27,Хадгаламж руу шилжүүлэг,276078,,9016655
2025-10-02,Сод Экспресс,36834,,8979821
2025-10-02,Grand Plaza хүнсний дэлгүүр,71309,,8908512
2025-10-03,Цэцэрлэгийн сарын хураамж,140689,,8767823
2025-10-03,Улаанбаатар зах-Хүнс,110719,,8657104
2025-10-03,CU 24/7 дэлгүүр,59195,,8597909
2025-10-04,Petrovis шатахуун түгээх станц,88187,,8509722
2025-10-05,Орон сууцны зээлийн төлбөр - Хаан Банк,606959,,7902763
2025-10-06,Копи Ко кафе,55318,,7847445
2025-10-07,CU 24/7 дэлгүүр,45342,,7802103
2025-10-08,Дулааны төлбөр - УБДС,84794,,7717309
2025-10-08,Цахилгааны төлбөр - Эрчим Хүчний Түгээх Сүлжээ,38965,,7678344
2025-10-08,Emart Taxi дуудлага,14232,,7664112
2025-10-08,Modern Nomads ресторан,54041,,7610071
2025-10-09,Усны төлбөр - УСУГ,14030,,7596041
2025-10-09,Улаанбаатар зах-Хүнс,91624,,7504417
2025-10-10,Гэрийн интернэт - Unitel,46840,,7457577
2025-10-11,Гар утасны төлбөр - Mobicom,29049,,7428528
2025-10-11,Гар утасны төлбөр - эхнэр/нөхөр Skytel,24769,,7403759
2025-10-13,Богд Такси үйлчилгээ,11580,,7392179
2025-10-13,Машины засвар үйлчилгээ,193597,,7198582
2025-10-14,MobiCard шатахуун,72759,,7125823
2025-10-14,MobiCard шатахуун,48550,,7077273
2025-10-15,KFC Улаанбаатар,52648,,7024625
2025-10-15,Даатгалын хураамж - Practical Insurance,35241,,6989384
2025-10-16,Сод Экспресс,130841,,6858543
2025-10-19,Сод Экспресс,28942,,6829601
2025-10-21,Emart Taxi дуудлага,9986,,6819615
2025-10-21,Тэнгис кино театр,37713,,6781902
2025-10-24,CU 24/7 дэлгүүр,103525,,6678377
2025-10-25,Цалингийн шилжүүлэг - ХХК,,2864845,9543222
2025-10-26,Гэрийн орлого шилжүүлэг - эхнэр/нөхөр,,1635828,11179050
2025-10-26,MobiCard шатахуун,57478,,11121572
2025-11-02,CU 24/7 дэлгүүр,124434,,10997138
2025-11-02,CU 24/7 дэлгүүр,38500,,10958638
2025-11-03,Цэцэрлэгийн сарын хураамж,154909,,10803729
2025-11-03,Sod Mongol шатахуун станц,49453,,10754276
2025-11-04,Sod Mongol шатахуун станц,61135,,10693141
2025-11-05,Орон сууцны зээлийн төлбөр - Хаан Банк,603141,,10090000
2025-11-07,Silk Road дэлгүүр,56534,,10033466
2025-11-07,Богд Такси үйлчилгээ,15821,,10017645
2025-11-08,Дулааны төлбөр - УБДС,71921,,9945724
2025-11-08,Цахилгааны төлбөр - Эрчим Хүчний Түгээх Сүлжээ,40394,,9905330
2025-11-09,Усны төлбөр - УСУГ,15104,,9890226
2025-11-10,Гэрийн интернэт - Unitel,45017,,9845209
2025-11-11,Гар утасны төлбөр - Mobicom,34396,,9810813
2025-11-11,Гар утасны төлбөр - эхнэр/нөхөр Skytel,24172,,9786641
2025-11-11,Nomin Supermarket,34572,,9752069
2025-11-13,KFC Улаанбаатар,69019,,9683050
2025-11-14,Улаанбаатар зах-Хүнс,123748,,9559302
2025-11-14,Богд Такси үйлчилгээ,16544,,9542758
2025-11-15,Даатгалын хураамж - Practical Insurance,36200,,9506558
2025-11-17,Fitness club гишүүнчлэл,68690,,9437868
2025-11-18,Nomin Supermarket,126038,,9311830
2025-11-19,Emart Хан-Уул,93909,,9217921
2025-11-20,Emart Taxi дуудлага,10686,,9207235
2025-11-20,Хувцасны дэлгүүр - H&M Shangri La,133792,,9073443
2025-11-21,Копи Ко кафе,54964,,9018479
2025-11-22,Petrovis шатахуун түгээх станц,71461,,8947018
2025-11-23,Emart Хан-Уул,48289,,8898729
2025-11-25,Цалингийн шилжүүлэг - ХХК,,2876185,11774914
2025-11-25,Эмнэлгийн үзлэг/эм - Эм Импекс эмийн сан,24508,,11750406
2025-11-26,Гэрийн орлого шилжүүлэг - эхнэр/нөхөр,,1456032,13206438
2025-11-26,CU 24/7 дэлгүүр,114752,,13091686
2025-11-27,Хадгаламж руу шилжүүлэг,191490,,12900196
2025-11-28,CU 24/7 дэлгүүр,48635,,12851561
2025-12-01,MobiCard шатахуун,53573,,12797988
2025-12-03,Цэцэрлэгийн сарын хураамж,157332,,12640656
2025-12-03,Sod Mongol шатахуун станц,72759,,12567897
